National Database Number,Common Name,Species,State,Observation Date,Length,Latitude,Longitude,
SW-2008-1089089,"Whale, gray",robustus,CA,2008-03-01,0,,,
SW-2008-1089233,"Whale, humpback",novaeangliae,CA,2008-03-07,1,36.12,-121.46,
SW-2008-1089541,"Whale, sperm",macrocephalus,CA,2008-03-15,1560,38.196,-122.963,
SW-2008-1089817,"Whale, gray",robustus,CA,2008-03-24,462,33.38,117.59,
SW-2008-1090587,"Whale, gray",robustus,CA,2008-04-11,458,33.39,118,
SW-2008-1092401,"Whale, killer",orca,CA,2008-05-04,234,38,0,
SW-2008-1092537,"Whale, gray",robustus,CA,2008-05-08,330,37.805748,-122.400778,
SW-2008-1094981,"Whale, blue",musculus,CA,2008-11-17,780,32.448056,-118.465278,
SW-2008-1095997,"Whale, fin",physalus,CA,2008-10-19,456,33.44,118.12,
SW-2008-1097007,"Whale, humpback",novaeangliae,CA,2008-08-10,0,,,
SW-2008-1183202,"Whale, minke",acutorostrata,CA,2008-06-21,610,34.3841,-119.50807,
SW-2009-1087409,"Whale, fin",physalus,CA,2009-02-02,1370,32.838611,-117.2825,
SW-2009-1091497,"Whale, killer",orca,CA,2009-04-05,380,36.4776,-121.9383,
SW-2009-1091877,"Whale, fin",physalus,CA,2009-01-10,1890,40.891666,-124.154167,
SW-2009-1092117,"Whale, gray",robustus,CA,2009-01-25,0,33,118,
SW-2009-1092153,"Whale, gray",robustus,CA,2009-04-20,1067,34.87449,-120.62691,
SW-2009-1093611,"Whale, gray",robustus,CA,2009-03-23,854,41.034525,-124.117329,
SW-2009-1097625,"Whale, gray",robustus,CA,2009-04-01,300,36.9519,-122.0332,
SW-2009-1097869,"Whale, gray",robustus,CA,2009-04-05,853,33,118,
SW-2009-1097981,"Whale, fin",physalus,CA,2009-04-10,744,,,
SW-2009-1098319,"Whale, gray",robustus,CA,2009-04-25,0,,,
SW-2009-1098489,"Whale, gray",robustus,CA,2009-04-14,770,,,
SW-2009-1098523,"Whale, gray",robustus,CA,2009-05-01,0,33.8667,-119.45,
SW-2009-1098925,"Whale, fin",physalus,CA,2009-05-06,0,32.39,-118.24,
SW-2009-1100333,"Whale, blue",musculus,CA,2009-10-09,1630,35.985,-121.4926,
SW-2009-1102031,"Whale, humpback",novaeangliae,CA,2009-08-14,800,41.11815,-124.15971,
SW-2009-1102759,"Whale, blue",musculus,CA,2009-10-19,2240,39.44464,-123.837482,
SW-2009-1103723,"Whale, sperm",macrocephalus,CA,2009-12-14,585,36.8572,-121.8145,
SW-2009-1104005,"Whale, humpback",novaeangliae,CA,2009-07-07,1094,36.89912,-121.84161,
SW-2009-1108823,"Whale, humpback",novaeangliae,CA,2009-09-23,384,38.07774,-122.57324,
SW-2009-1108909,"Whale, killer",orca,CA,2009-10-16,229,37.32497,-122.40349,
SW-2009-1118541,"Whale, gray",robustus,CA,2009-06-11,686,36.85522,-121.8137,
SW-2009-1119033,"Whale, gray",robustus,CA,2009-10-09,0,36.89162,-121.83627,
SW-2009-1123188,"Whale, sperm",macrocephalus,CA,2009-11-23,930,38.04702,-122.98975,
SW-2009-1123292,"Whale, sperm",macrocephalus,CA,2009-12-06,300,36.85788,-121.81469,
SW-2010-1107147,"Whale, gray",robustus,CA,2010-02-17,517,34.41569,-119.33596,
SW-2010-1107149,"Whale, gray",robustus,CA,2010-01-30,468,34.04739,-120.35258,
SW-2010-1114498,"Whale, fin",physalus,CA,2010-03-05,1410,33.96343,-119.74616,
SW-2010-1115258,"Whale, gray",robustus,CA,2010-05-11,312,33.458749,-117.693556,
SW-2010-1122344,"Whale, humpback",novaeangliae,CA,2010-07-27,468,36.30663,-121.89954,
SW-2010-1122472,"Whale, humpback",novaeangliae,CA,2010-07-06,792,34.74222,-120.023611,
SW-2010-1122496,"Whale, humpback",novaeangliae,CA,2010-08-04,862,35.0295,-120.6343,
SW-2010-1122523,"Whale, blue",musculus,CA,2010-08-25,2134,34.03384,-120.61297,
SW-2010-1123451,"Whale, gray",robustus,CA,2010-01-14,1263,41.089592,-124.15539,
SW-2010-1123525,"Whale, gray",robustus,CA,2010-02-01,810,41.23089,-124.10657,
SW-2010-1123534,"Whale, gray",robustus,CA,2010-02-04,447,33.4428,-118.1345,
SW-2010-1123586,"Whale, gray",robustus,CA,2010-02-16,0,32.42061,-117.12392,
SW-2010-1123595,"Whale, sperm",macrocephalus,CA,2010-02-19,360,39.496641,-123.138676,
SW-2010-1123732,"Whale, killer",orca,CA,2010-03-06,235,37.242311,-122.418935,
SW-2010-1125566,"Whale, gray",robustus,CA,2010-04-20,1145,37.815,-122.428,
SW-2010-1125576,"Whale, gray",robustus,CA,2010-04-21,1270,38.53551,-123.27898,
SW-2010-1125921,"Whale, humpback",novaeangliae,CA,2010-04-30,690,37.15337,-122.3595,
SW-2010-1126333,"Whale, sperm",macrocephalus,CA,2010-12-12,144,32.55,117.15,
SW-2010-1126456,"Whale, gray",robustus,CA,2010-05-13,1158,37.8553,-122.4395,
SW-2010-1126661,"Whale, gray",robustus,CA,2010-05-17,800,37.824,-122.51,
SW-2010-1127105,"Whale, humpback",novaeangliae,CA,2010-05-27,680,39.126921,-123.717658,
SW-2010-1127514,"Whale, gray",robustus,CA,2010-06-05,797,41.696653,-124.142128,
SW-2010-1134841,"Whale, fin",physalus,CA,2010-09-16,0,37.796715,-122.316542,
SW-2010-1135678,"Whale, fin",physalus,CA,2010-09-19,1540,37.757289,-122.510513,
SW-2010-1137067,"Whale, blue",musculus,CA,2010-10-02,2430,37.227088,-122.410583,
SW-2010-1138196,"Whale, humpback",novaeangliae,CA,2010-10-25,740,37.898367,-122.660867,
SW-2010-1138316,"Whale, blue",musculus,CA,2010-08-04,0,36.7,-121.968611,
SW-2010-1142521,"Whale, humpback",novaeangliae,CA,2010-07-25,823,37.8756,-122.6023,
SW-2011-1129082,"Whale, gray",robustus,CA,2011-03-07,360,36.120011,-121.633306,
SW-2011-1131790,"Whale, gray",robustus,CA,2011-05-10,730,36.6136,-121.8968,
SW-2011-1132815,"Whale, gray",robustus,CA,2011-05-30,600,34.45,-119.99,
SW-2011-1133429,"Whale, gray",robustus,CA,2011-05-14,609,35.5393,-121.095,
SW-2011-1137308,"Whale, fin",physalus,CA,2011-11-19,2000,32.681109,-117.248331,
SW-2011-1148889,"Whale, humpback",novaeangliae,CA,2011-05-08,445,33.715,-118.318889,
SW-2011-1184840,"Whale, killer",orca,CA,2011-11-24,551,38.19407,-122.96524,
SW-2011-1188912,"Whale, gray",robustus,CA,2011-06-11,860,37.267,-122.417,
SW-2011-1189015,"Whale, gray",robustus,CA,2011-06-24,1372,41.5208,-124.0386,
SW-2011-1190324,"Whale, gray",robustus,CA,2011-04-18,1145,37.8556,-122.4399,
SW-2012-1139137,"Whale, gray",robustus,CA,2012-01-16,394,,,
SW-2012-1139258,"Whale, gray",robustus,CA,2012-02-12,450,33.089101,-117.313962,
SW-2012-1140569,"Whale, gray",robustus,CA,2012-03-31,530,34.03777,-118.58361,
SW-2012-1142353,"Whale, gray",robustus,CA,2012-04-21,920,35.60571,-121.14293,
SW-2012-1142700,"Whale, gray",robustus,CA,2012-04-27,0,36.0712,-121.6062,
SW-2012-1143649,"Whale, gray",robustus,CA,2012-05-02,426,36.1641,-121.6779,
SW-2012-1143895,"Whale, gray",robustus,CA,2012-01-07,475,34.03,-118.52527,
SW-2012-1144065,"Whale, gray",robustus,CA,2012-05-14,112,34.2413,-119.2672,
SW-2012-1145056,"Whale, gray",robustus,CA,2012-09-17,732,33.723474,-118.336961,
SW-2012-1145382,"Whale, gray",robustus,CA,2012-10-18,600,34.16513,-119.23112,
SW-2012-1145414,"Whale, gray",robustus,CA,2012-05-03,751,36.9089,-121.8474,
SW-2012-1145678,"Whale, fin",physalus,CA,2012-12-03,1222,34.012777,-118.79222,
SW-2012-1146320,"Whale, fin",physalus,CA,2012-12-03,1249,34.013172,-118.792119,
SW-2012-1155927,"Whale, gray",robustus,CA,2012-05-01,1160,41.88813,-124.20096,
SW-2012-1185468,"Whale, minke",acutorostrata,CA,2011-12-27,200,37.951824,-122.783106,
SW-2012-1190370,"Whale, fin",physalus,CA,2012-06-21,1432,37.930955,-122.747186,
SW-2012-1190371,"Whale, humpback",novaeangliae,CA,2012-07-25,823,37.43254,-122.44163,
SW-2012-1192090,"Whale, fin",physalus,CA,2012-04-03,0,32.518056,-117.221389,
SW-2013-1146363,"Whale, gray",robustus,CA,2013-01-11,0,36.84995,-121.80967,
SW-2013-1147862,"Whale, gray",robustus,CA,2013-03-29,889,32.847797,-117.285987,
SW-2013-1148263,"Whale, gray",robustus,CA,2013-05-03,302,36.71234,-121.80764,
SW-2013-1148280,"Whale, humpback",novaeangliae,CA,2013-04-25,619,34.96969,-120.650346,
SW-2013-1149151,"Whale, humpback",novaeangliae,CA,2013-06-10,1,35.16,-120.74,
SW-2013-1149171,"Whale, fin",physalus,CA,2013-02-26,576,,,
SW-2013-1149490,"Whale, humpback",novaeangliae,CA,2013-07-23,1,34.6471,-120.6197,
SW-2013-1149795,"Whale, sperm",macrocephalus,CA,2013-02-20,600,38.8435,-123.6387,
SW-2013-1151976,"Whale, gray",robustus,CA,2013-08-23,1,34.29,-119.337,
SW-2013-1156178,"Whale, gray",robustus,CA,2013-06-25,935,40.617,-124.328,
SW-2013-1156179,"Whale, gray",robustus,CA,2013-06-29,981,40.84508,-124.17648,
SW-2013-1159897,"Whale, gray",robustus,CA,2013-07-16,750,38.038084,-122.993856,
SW-2013-1172557,"Whale, gray",robustus,CA,2013-08-16,245,34.637117,-119.671533,
SW-2013-1172558,"Whale, fin",physalus,CA,2013-08-19,1305,37.899795,-122.657858,
SW-2013-1181931,"Whale, humpback",novaeangliae,CA,2013-06-10,740,38.01188,-122.848132,
SW-2013-1183856,"Whale, gray",robustus,CA,2013-03-29,0,32.870389,-117.297583,
SW-2013-1188205,"Whale, gray",robustus,CA,2013-06-19,800,38.145527,-122.882405,
SW-2014-1157143,"Whale, fin",physalus,CA,2014-05-17,1725,32.681195,-117.248399,
SW-2014-1157680,"Whale, fin",physalus,CA,2014-06-11,264,36.68642,-121.81292,
SW-2014-1158034,"Whale, humpback",novaeangliae,CA,2014-05-22,0,32.984049,-118.59665,
SW-2014-1158858,"Whale, fin",physalus,CA,2014-07-29,1584,34.151147,-119.206263,
SW-2014-1160017,"Whale, humpback",novaeangliae,CA,2014-10-05,709,33.266111,-117.445,
SW-2014-1169889,"Whale, Bryde's",edeni,CA,2014-12-08,455,32.707599,-117.190092,
SW-2014-1171841,"Whale, humpback",novaeangliae,CA,2014-06-03,788,37.18314,-122.3892,
SW-2014-1171842,"Whale, minke",acutorostrata,CA,2014-06-06,504,39.375949,-123.822149,
SW-2014-1172355,"Whale, gray",robustus,CA,2014-01-19,392,38.358,-123.0684,
SW-2014-1172356,"Whale, minke",acutorostrata,CA,2014-03-30,635,38.1302,-122.955143,
SW-2014-1172357,"Whale, gray",robustus,CA,2014-05-08,800,35.384911,-120.865853,
SW-2014-1172358,"Whale, humpback",novaeangliae,CA,2014-05-21,770,37.50031,-122.469131,
SW-2014-1185118,"Whale, gray",robustus,CA,2014-06-24,566,41.96267,-124.20662,
